title,description,category,is_coherent
"Bus Stop Broken in housing society","bus stop broken on housing society is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Complaint about road marking missing near hospital road","Urgent repair needed for road marking missing on hospital road which is causing accidents","road-transportation","1"
"Complaint about street vendor blocking road near lane","The condition of lane is very poor due to street vendor blocking road affecting daily travel","road-transportation","1"
"Complaint about road construction delay near residential street","Urgent repair needed for road construction delay on residential street which is causing accidents","road-transportation","1"
"Complaint about road debris near school zone","The road debris on school zone has been creating problems for commuters for weeks","road-transportation","1"
"Issue of road digging unauthorized at commercial area","road digging unauthorized on commercial area is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Urgent: manhole cover missing on main road","Urgent repair needed for manhole cover missing on main road which is causing accidents","road-transportation","1"
"Complaint about zebra crossing faded near market area","The condition of market area is very poor due to zebra crossing faded affecting daily travel","road-transportation","1"
"Problem with footpath broken on residential street","footpath broken on residential street is making it dangerous for pedestrians and vehicles","road-transportation","1"
"Road Damage - highway","The condition of highway is very poor due to road damage affecting daily travel","road-transportation","1"
"Issue of pothole at commercial area","The pothole on commercial area has been creating problems for commuters for weeks","road-transportation","1"
"Complaint about traffic signal not working near commercial area","The condition of commercial area is very poor due to traffic signal not working affecting daily travel","road-transportation","1"
"Problem with flyover problem on housing society","The condition of housing society is very poor due to flyover problem affecting daily travel","road-transportation","1"
"Problem with road debris on main road","There is a major road debris on main road causing traffic problems and vehicle damage","road-transportation","1"
